Thoi_gian,Ten_do_vat,So_luong
2025-09-28 11:19:04,Nguoi,2
2025-09-28 11:19:04,Dien thoai,1
2025-09-28 11:19:09,Nguoi,2
2025-09-28 11:19:09,Dien thoai,1
2025-09-28 11:19:14,Nguoi,2
2025-09-28 11:19:14,Dien thoai,1
2025-09-28 11:19:19,Nguoi,2
2025-09-28 11:19:19,Dien thoai,1
2025-09-28 11:19:24,Nguoi,2
2025-09-28 11:19:24,Dien thoai,1
2025-09-28 11:19:29,Nguoi,2
2025-09-28 11:19:29,Dien thoai,1
2025-09-28 11:19:34,Nguoi,2
2025-09-28 11:19:34,Dien thoai,1
2025-09-28 11:19:39,Nguoi,2
2025-09-28 11:19:39,Dien thoai,1
2025-09-28 11:19:39,Dao,1
2025-09-28 11:19:39,Banh mi kep xuc xich,1
2025-09-28 11:19:45,Nguoi,2
2025-09-28 11:19:45,Dien thoai,1
2025-09-28 11:19:45,Dao,1
2025-09-28 11:19:45,Banh mi kep xuc xich,1
2025-09-28 11:19:50,Nguoi,2
2025-09-28 11:19:50,Dien thoai,1
2025-09-28 11:19:50,Dao,1
2025-09-28 11:19:50,Banh mi kep xuc xich,1
2025-09-28 11:19:55,Nguoi,2
2025-09-28 11:19:55,Dien thoai,1
2025-09-28 11:19:55,Dao,1
2025-09-28 11:19:55,Banh mi kep xuc xich,1
2025-09-28 11:20:00,Nguoi,2
2025-09-28 11:20:00,Dien thoai,1
2025-09-28 11:20:00,Dao,1
2025-09-28 11:20:00,Banh mi kep xuc xich,1
2025-09-28 11:20:00,Chuoi,1
2025-09-28 11:20:00,Chai,1
2025-09-28 11:20:05,Nguoi,2
2025-09-28 11:20:05,Dien thoai,1
2025-09-28 11:20:05,Dao,1
2025-09-28 11:20:05,Banh mi kep xuc xich,1
2025-09-28 11:20:05,Chuoi,1
2025-09-28 11:20:05,Chai,1
2025-09-28 11:20:10,Nguoi,2
2025-09-28 11:20:10,Dien thoai,1
2025-09-28 11:20:10,Dao,1
2025-09-28 11:20:10,Banh mi kep xuc xich,1
2025-09-28 11:20:10,Chuoi,1
2025-09-28 11:20:10,Chai,1
2025-09-28 11:20:10,Ban chai danh rang,1
2025-09-28 11:20:15,Nguoi,2
2025-09-28 11:20:15,Dien thoai,1
2025-09-28 11:20:15,Dao,1
2025-09-28 11:20:15,Banh mi kep xuc xich,1
2025-09-28 11:20:15,Chuoi,1
2025-09-28 11:20:15,Chai,1
2025-09-28 11:20:15,Ban chai danh rang,1
2025-09-28 11:20:15,Coc,1
2025-09-28 11:20:20,Nguoi,2
2025-09-28 11:20:20,Dien thoai,1
2025-09-28 11:20:20,Dao,1
2025-09-28 11:20:20,Banh mi kep xuc xich,1
2025-09-28 11:20:20,Chuoi,1
2025-09-28 11:20:20,Chai,1
2025-09-28 11:20:20,Ban chai danh rang,1
2025-09-28 11:20:20,Coc,1
2025-09-28 11:20:20,Vot tennis,1
2025-09-28 11:20:20,Ca vat,1
2025-09-28 11:20:25,Nguoi,2
2025-09-28 11:20:25,Dien thoai,1
2025-09-28 11:20:25,Dao,1
2025-09-28 11:20:25,Banh mi kep xuc xich,1
2025-09-28 11:20:25,Chuoi,1
2025-09-28 11:20:25,Chai,1
2025-09-28 11:20:25,Ban chai danh rang,1
2025-09-28 11:20:25,Coc,1
2025-09-28 11:20:25,Vot tennis,1
2025-09-28 11:20:25,Ca vat,1
2025-09-28 11:20:25,Bong the thao,1
2025-09-28 11:20:25,Dong ho,1
2025-09-28 11:20:30,Nguoi,2
2025-09-28 11:20:30,Dien thoai,1
2025-09-28 11:20:30,Dao,1
2025-09-28 11:20:30,Banh mi kep xuc xich,1
2025-09-28 11:20:30,Chuoi,1
2025-09-28 11:20:30,Chai,1
2025-09-28 11:20:30,Ban chai danh rang,1
2025-09-28 11:20:30,Coc,1
2025-09-28 11:20:30,Vot tennis,1
2025-09-28 11:20:30,Ca vat,1
2025-09-28 11:20:30,Bong the thao,1
2025-09-28 11:20:30,Dong ho,1
2025-09-28 11:20:30,Dia bay,1
2025-09-28 11:20:30,Tao,1
2025-09-28 11:20:30,Meo,1
2025-09-28 11:20:35,Nguoi,2
2025-09-28 11:20:35,Dien thoai,1
2025-09-28 11:20:35,Dao,1
2025-09-28 11:20:35,Banh mi kep xuc xich,1
2025-09-28 11:20:35,Chuoi,1
2025-09-28 11:20:35,Chai,1
2025-09-28 11:20:35,Ban chai danh rang,1
2025-09-28 11:20:35,Coc,1
2025-09-28 11:20:35,Vot tennis,1
2025-09-28 11:20:35,Ca vat,1
2025-09-28 11:20:35,Bong the thao,1
2025-09-28 11:20:35,Dong ho,1
2025-09-28 11:20:35,Dia bay,1
2025-09-28 11:20:35,Tao,1
2025-09-28 11:20:35,Meo,1
2025-09-28 11:20:40,Nguoi,2
2025-09-28 11:20:40,Dien thoai,1
2025-09-28 11:20:40,Dao,1
2025-09-28 11:20:40,Banh mi kep xuc xich,1
